suspect_id,full_name,phone_number,timestamp,latitude,longitude,address,network_provider,network_type,cell_id,lac,movement_status,location_age_seconds,previous_location,distance_moved_km,speed_kmh,remarks
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 08:00:00,13.756331,100.501765,"ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330",AIS,4G,12345,4501,Moving,0,,0.0,0.0,เริ่มติดตาม - พบที่ MBK Center
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 08:15:00,13.746029,100.534660,"ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110",AIS,4G,12346,4501,Moving,0,"13.756331,100.501765",3.2,12.8,เคลื่อนที่ไปทาง Terminal 21
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 08:45:00,13.736717,100.560471,"ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110",AIS,4G,12347,4501,Moving,0,"13.746029,100.534660",2.8,5.6,เคลื่อนที่ต่อไปทาง Gateway Ekamai
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 09:30:00,13.731359,100.589318,"ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",AIS,4G,12348,4501,Stationary,0,"13.736717,100.560471",2.9,3.9,หยุดนิ่งที่ EmQuartier - น่าสงสัย อาจพบผู้สมรู้ร่วมคิด
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 11:00:00,13.731359,100.589318,"ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",AIS,4G,12348,4501,Stationary,5400,"13.731359,100.589318",0.0,0.0,ยังคงอยู่ที่เดิม 1.5 ชั่วโมง - ต้องเฝ้าระวัง
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 12:15:00,13.681679,100.607232,"ถนนบางนา-ตราด แขวงบางนา เขตบางนา กรุงเทพมหานคร 10260",AIS,4G,12349,4502,Moving,0,"13.731359,100.589318",6.1,48.8,เคลื่อนที่เร็วผิดปกติ - อาจใช้รถยนต์ ไปทาง CentralPlaza Bangna
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 13:00:00,13.599921,100.605431,"ถนนบางนา-ตราด ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540",AIS,4G,12350,4503,Moving,0,"13.681679,100.607232",9.2,12.3,เข้าสู่ Mega Bangna - พื้นที่ที่มีกิจกรรมต้องสงสัยก่อนหน้านี้
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 14:30:00,13.599921,100.605431,"ถนนบางนา-ตราด ตำบลบางโฉลง อำเภอบางพลี สมุทรปราการ 10540",AIS,4G,12350,4503,Stationary,5400,"13.599921,100.605431",0.0,0.0,หยุดนิ่ง 1.5 ชั่วโมง - สงสัยพบผู้ร่วมขบวนการ
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 15:45:00,13.532166,100.623424,"ตำบลบางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270",AIS,4G,12351,4504,Moving,0,"13.599921,100.605431",7.8,10.4,⚠️ เข้าพื้นที่เฝ้าระวัง - Warehouse District
TARGET-001,นาย ชาตรี คดขัน,66951234567,2026-01-13 16:00:00,13.532166,100.623424,"ตำบลบางเมือง อำเภอเมืองสมุทรปราการ สมุทรปราการ 10270",AIS,4G,12351,4504,Stationary,900,"13.532166,100.623424",0.0,0.0,🚨 ALERT: หยุดนิ่งในพื้นที่ต้องสงสัย - ควรส่งทีมติดตาม

TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 08:00:00,13.756331,100.501765,"ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330",True,4G,12345,4501,Moving,0,,0.0,0.0,เริ่มติดตาม - พบพร้อมกับ TARGET-001
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 08:15:00,13.746029,100.534660,"ถนนสุขุมวิท แขวงคลองเตย เขตคลองเตย กรุงเทพมหานคร 10110",True,4G,12346,4501,Moving,0,"13.756331,100.501765",3.2,12.8,เคลื่อนที่คู่กับ TARGET-001
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 08:45:00,13.736717,100.560471,"ถนนสุขุมวิท แขวงพระโขนง เขตคลองเตย กรุงเทพมหานคร 10110",True,4G,12347,4501,Moving,0,"13.746029,100.534660",2.8,5.6,ยังคงเคลื่อนที่คู่กัน
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 09:30:00,13.731359,100.589318,"ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",True,4G,12348,4501,Stationary,0,"13.736717,100.560471",2.9,3.9,หยุดนิ่งที่เดียวกันกับ TARGET-001
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 11:00:00,13.731359,100.589318,"ถนนสุขุมวิท แขวงพระโขนงเหนือ เขตวัฒนา กรุงเทพมหานคร 10110",True,4G,12348,4501,Stationary,5400,"13.731359,100.589318",0.0,0.0,ยังคงอยู่ที่เดิมเป็นเวลานาน - น่าสงสัยการประชุมลับ
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 12:15:00,13.755313,100.502858,"ถนนพระราม 1 แขวงวังใหม่ เขตปทุมวัน กรุงเทพมหานคร 10330",True,4G,12352,4501,Moving,0,"13.731359,100.589318",8.9,71.2,⚠️ แยกทางกับ TARGET-001! เคลื่อนที่เร็วกลับย่านสยาม
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 13:30:00,13.756331,100.501765,"ถนนพระราม 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330",True,4G,12345,4501,Stationary,4800,"13.755313,100.502858",0.1,0.0,หยุดนิ่งบริเวณ Siam - อาจทำธุระส่วนตัว
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 15:00:00,13.878005,100.601746,"ถนนรามอินทรา แขวงท่าแร้ง เขตบางเขน กรุงเทพมหานคร 10230",True,4G,12353,4505,Moving,0,"13.756331,100.501765",15.3,10.2,เคลื่อนที่ไปทางเหนือ - Future Park Rangsit
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 16:30:00,13.959562,100.598045,"ถนนพหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130",True,4G,12354,4506,Moving,0,"13.878005,100.601746",9.2,6.1,เข้าสู่ปทุมธานี - พื้นที่ที่ต้องประสานหน่วยงาน
TARGET-002,นาง เอมมี่ อีอี,66987654321,2026-01-13 17:00:00,13.959562,100.598045,"ถนนพหลโยธิน ตำบลประชาธิปัตย์ อำเภอธัญบุรี ปทุมธานี 12130",True,4G,12354,4506,Stationary,1800,"13.959562,100.598045",0.0,0.0,🚨 หยุดนิ่งในปทุมธานี - สงสัยที่พักอาศัย

TARGET-003,นาย สมชาย ทดสอบ,66812345678,2026-01-13 10:00:00,14.408378,98.904282,"ตำบลไทรโยค อำเภอไทรโยค จังหวัดกาญจนบุรี 71150",DTAC,3G,15001,5001,Stationary,0,,0.0,0.0,🚨 CRITICAL: พบที่พื้นที่ชายแดน - ห่างจากเมือง 180 กม.
